Time elapsed was ,92726,ns or,9.2726E-05,s
Time elapsed was ,106647,ns or,0.000106647,s
Time elapsed was ,105932,ns or,0.000105932,s
Time elapsed was ,106576,ns or,0.000106576,s
Time elapsed was ,213940,ns or,0.00021394,s
Time elapsed was ,94690,ns or,9.469E-05,s
Time elapsed was ,104520,ns or,0.00010452,s
Time elapsed was ,208021,ns or,0.000208021,s
Time elapsed was ,101603,ns or,0.000101603,s
Time elapsed was ,103819,ns or,0.000103819,s
,,,,
Average/mean=,123847.4,,0.0001238474,
